ACC_YEAR,SGG_CD,SGG_NM,BJDONG_CD,BJDONG_NM,LAND_GBN,LAND_GBN_NM,BONBEON,BUBEON,BLDG_NM,DEAL_YMD,OBJ_AMT,BLDG_AREA,TOT_AREA,FLOOR,RIGHT_GBN,CNTL_YMD,BUILD_YEAR,HOUSE_TYPE,REQ_GBN,RDEALER_LAWDNM,Deal_YMD
2024,11110,종로구,18200,구기동,1,대지,0266,0000,청구빌라,20240623,59900,84.72,107.0,3.0,,20240623,1997,연립다세대,중개거래,서울 종로구,2024-06-23
2024,11650,서초구,10800,서초동,1,대지,1546,0006,팬타트럼-2단지,20240622,47500,33.88,19.0,2.0,,,2019,연립다세대,중개거래,서울 서초구,2024-06-22
2024,11500,강서구,10500,마곡동,1,대지,0748,0000,마곡13단지힐스테이트마스터,20240622,139500,84.988,0.0,5.0,,20240622,2017,아파트,중개거래,서울 강서구,2024-06-22
2024,11200,성동구,11400,성수동1가,1,대지,0656,0449,YG FOREST,20240621,30439,16.8,23.69,7.0,,,null,오피스텔,중개거래,서울 양천구,2024-06-21
2024,11740,강동구,10500,길동,1,대지,0387,0005,청광플러스원(큐브1차),20240621,11850,16.685,0.0,10.0,,,2012,아파트,직거래,,2024-06-21
2024,11440,마포구,12000,서교동,1,대지,0487,0000,대우미래사랑,20240621,47000,68.03,0.0,10.0,,,2005,아파트,직거래,,2024-06-21
2024,11305,강북구,10300,수유동,1,대지,0048,0008,수유프리미어엠,20240621,10600,15.13,0.0,12.0,,,2016,아파트,중개거래,서울 강북구,2024-06-21
2024,11500,강서구,10300,화곡동,1,대지,0362,0135,남경쉐르빌(362-135),20240621,28000,68.74,31.0,2.0,,,2001,연립다세대,중개거래,서울 강서구,2024-06-21
2024,11305,강북구,10300,수유동,1,대지,0048,0008,수유프리미어엠,20240621,11000,19.0,0.0,7.0,,,2016,아파트,중개거래,서울 강북구,2024-06-21
2024,11260,중랑구,10400,묵동,1,대지,0239,0058,(239-58),20240621,29000,56.16,28.0,3.0,,,1995,연립다세대,직거래,,2024-06-21
2024,11740,강동구,10700,암사동,1,대지,0421,0000,케이집쎄븐,20240621,20000,26.74,17.0,4.0,,,2018,연립다세대,중개거래,서울 강동구,2024-06-21
2024,11500,강서구,10300,화곡동,1,대지,0095,0051,금강빌라(95-51),20240621,14300,41.85,23.0,4.0,,,2001,연립다세대,직거래,,2024-06-21
2024,11530,구로구,10900,궁동,1,대지,0081,0004,우덕맨션(81-4),20240621,16000,58.92,32.0,1.0,,,2000,연립다세대,직거래,,2024-06-21
2024,11290,성북구,13600,하월곡동,1,대지,0084,0061,젬스톤타운,20240621,41600,57.96,31.0,3.0,,,2017,연립다세대,중개거래,"서울 강북구, 서울 성북구",2024-06-21
2024,11740,강동구,10100,명일동,1,대지,0332,0000,명일지에스아파트,20240621,91000,84.9,0.0,5.0,,,1999,아파트,중개거래,서울 강동구,2024-06-21
2024,11440,마포구,10100,아현동,1,대지,0737,0000,마포 에스케이 허브 블루,20240621,21400,30.905,40.249,17.0,,,2006,오피스텔,중개거래,서울 마포구,2024-06-21
2024,11380,은평구,10400,갈현동,1,대지,0548,0000,유호루하스,20240621,11500,16.768,0.0,5.0,,,2018,아파트,중개거래,서울 은평구,2024-06-21
2024,11110,종로구,12400,수송동,1,대지,0058,0000,두산위브파빌리온,20240621,32000,37.42,50.2,3.0,,,2004,오피스텔,중개거래,서울 종로구,2024-06-21
2024,11230,동대문구,10500,답십리동,1,대지,1003,0000,래미안위브,20240621,122000,84.98,0.0,9.0,,,2014,아파트,중개거래,서울 동대문구,2024-06-21
2024,11215,광진구,10500,자양동,1,대지,0856,0000,이튼타워리버5차,20240621,160000,84.77,0.0,6.0,,,2009,아파트,중개거래,서울 광진구,2024-06-21
2024,11740,강동구,10500,길동,1,대지,0477,0000,이편한세상강동에코포레,20240621,60000,59.97,0.0,15.0,,,2020,아파트,직거래,,2024-06-21
2024,11305,강북구,10300,수유동,1,대지,0024,0002,설악빌라A동,20240621,22200,41.65,24.0,3.0,,,2013,연립다세대,중개거래,서울 강북구,2024-06-21
2024,11620,관악구,10200,신림동,,,,,,20240620,45100,179.33,117.0,0.0,,20240621,1988,단독다가구,직거래,,2024-06-20
2024,11680,강남구,10100,역삼동,1,대지,0832,0003,강남역 쉐르빌,20240620,25000,26.08,37.29,18.0,,,2014,오피스텔,중개거래,서울 강남구,2024-06-20
2024,11740,강동구,10900,천호동,1,대지,0425,0003,천호역 한강 푸르지오시티,20240620,17000,25.24,35.91,21.0,,,2015,오피스텔,중개거래,서울 강동구,2024-06-20
2024,11230,동대문구,10500,답십리동,1,대지,1009,0000,힐스테이트청계,20240620,73500,59.94,0.0,16.0,,20240621,2018,아파트,직거래,,2024-06-20
2024,11260,중랑구,10300,중화동,1,대지,0316,0001,가현월디움(5차),20240620,27900,29.31,17.0,5.0,,,2021,연립다세대,중개거래,서울 강남구,2024-06-20
2024,11470,양천구,10100,신정동,1,대지,0931,0002,태현그린맨션A동,20240620,23000,43.56,22.0,1.0,,,2002,연립다세대,중개거래,서울 양천구,2024-06-20
2024,11215,광진구,10100,중곡동,1,대지,0100,0011,플러스빌(100-11),20240620,23400,29.98,24.0,4.0,,,2011,연립다세대,중개거래,서울 광진구,2024-06-20
2024,11290,성북구,10300,돈암동,1,대지,0538,0055,(538-55),20240620,26000,40.21,35.0,2.0,,,2016,연립다세대,중개거래,"서울 노원구, 서울 성북구",2024-06-20
2024,11200,성동구,10700,행당동,1,대지,0376,0000,서울숲행당푸르지오,20240620,120000,84.74,0.0,2.0,,,2011,아파트,중개거래,서울 성동구,2024-06-20
2024,11530,구로구,10200,구로동,,,,,,20240620,78000,171.63,99.0,0.0,,,1994,단독다가구,중개거래,경기 시흥시,2024-06-20
2024,11530,구로구,10800,오류동,1,대지,0031,0276,다크호스빌,20240620,18500,40.665,24.0,3.0,,,2003,연립다세대,중개거래,서울 구로구,2024-06-20
2024,11290,성북구,13500,종암동,1,대지,0130,0000,아이파크종암동1차,20240620,74000,59.73,0.0,13.0,,,2004,아파트,중개거래,서울 성북구,2024-06-20
2024,11410,서대문구,12000,남가좌동,1,대지,0396,0000,DMC금호리첸시아,20240620,20000,16.03,0.0,2.0,,,2022,아파트,중개거래,서울 서대문구,2024-06-20
2024,11680,강남구,10100,역삼동,1,대지,0774,0040,역삼더하임,20240620,48500,24.99,16.0,5.0,,,2020,연립다세대,중개거래,서울 서초구,2024-06-20
2024,11350,노원구,10300,공릉동,1,대지,0670,0007,67디벨리움,20240620,16700,17.27,0.0,12.0,,,2016,아파트,중개거래,서울 노원구,2024-06-20
2024,11305,강북구,10100,미아동,1,대지,1261,0298,천지인빌라,20240620,55600,45.72,32.0,1.0,,,2003,연립다세대,중개거래,"서울 강북구, 서울 성북구",2024-06-20
2024,11545,금천구,10100,가산동,1,대지,0141,0002,가산양우내안에애플,20240620,11000,12.04,0.0,18.0,,,2013,아파트,중개거래,서울 금천구,2024-06-20
2024,11650,서초구,10800,서초동,1,대지,1699,0002,엘루크 반포,20240620,58010,23.85,32.8323,5.0,,,2023,오피스텔,중개거래,서울 강남구,2024-06-20
2024,11560,영등포구,11000,여의도동,1,대지,0047,0000,여의도자이,20240620,295000,148.94,0.0,36.0,,,2008,아파트,직거래,,2024-06-20
2024,11440,마포구,10500,용강동,1,대지,0380,0000,마포용강삼성래미안,20240620,154000,84.2,0.0,11.0,,,2003,아파트,중개거래,서울 마포구,2024-06-20
2024,11440,마포구,10300,신공덕동,1,대지,0172,0000,펜트라우스,20240620,183500,115.04,0.0,9.0,,,2011,아파트,중개거래,서울 마포구,2024-06-20
2024,11680,강남구,10500,삼성동,1,대지,0017,0000,삼성동롯데아파트,20240620,191000,84.87,0.0,6.0,,,2000,아파트,중개거래,서울 강남구,2024-06-20
2024,11500,강서구,10300,화곡동,1,대지,0343,0071,벨라팰리스,20240620,18500,24.71,0.0,6.0,,,2015,아파트,중개거래,서울 강서구,2024-06-20
2024,11320,도봉구,10600,방학동,1,대지,0628,0010,성원아트빌,20240620,21000,56.08,31.0,3.0,,,2007,연립다세대,중개거래,서울 도봉구,2024-06-20
2024,11620,관악구,10100,봉천동,1,대지,1703,0000,봉천동아,20240620,83000,84.87,0.0,21.0,,,2000,아파트,중개거래,서울 관악구,2024-06-20
2024,11200,성동구,11000,금호동2가,1,대지,1217,0000,래미안하이리버,20240620,130000,59.99,0.0,11.0,,,2012,아파트,중개거래,서울 성동구,2024-06-20
2024,11530,구로구,10200,구로동,1,대지,0429,0261,하우스D,20240619,28000,27.11,17.0,5.0,,,2020,연립다세대,중개거래,서울 구로구,2024-06-19
2024,11500,강서구,10300,화곡동,1,대지,0355,0041,다인하우스,20240619,28500,22.72,13.0,3.0,,,2022,연립다세대,직거래,,2024-06-19
2024,11620,관악구,10100,봉천동,1,대지,0870,0012,에이스 에이-존,20240619,28000,49.68,67.13,5.0,,,2005,오피스텔,중개거래,서울 관악구,2024-06-19
2024,11590,동작구,10100,노량진동,,,,,,20240619,117000,31.2,66.0,0.0,,,1985,단독다가구,중개거래,서울 동작구,2024-06-19
2024,11410,서대문구,12000,남가좌동,1,대지,0388,0000,DMC2차아이파크,20240619,97000,59.99,0.0,14.0,,,2018,아파트,중개거래,서울 서대문구,2024-06-19
2024,11110,종로구,12400,수송동,1,대지,0058,0000,두산위브파빌리온,20240619,62000,74.84,100.39,13.0,,,2004,오피스텔,직거래,,2024-06-19
2024,11380,은평구,10700,응암동,1,대지,0096,0035,해들목휴먼빌,20240619,33400,63.42,74.25,6.0,,,2018,오피스텔,중개거래,서울 은평구,2024-06-19
2024,11410,서대문구,10200,충정로3가,1,대지,0031,0063,(31-63),20240619,66600,44.66,28.0,1.0,,,1994,연립다세대,중개거래,"서울 마포구, 서울 서대문구",2024-06-19
2024,11530,구로구,10800,오류동,1,대지,0009,0231,오류동 삼전솔하임,20240619,13300,20.435,30.425,10.0,,,2020,오피스텔,중개거래,서울 구로구,2024-06-19
2024,11305,강북구,10300,수유동,1,대지,0538,0000,휴자인,20240619,39500,48.65,43.0,3.0,,,2022,연립다세대,중개거래,서울 성북구,2024-06-19
2024,11110,종로구,18400,부암동,1,대지,0208,0031,대유빌,20240619,30000,42.33,34.0,3.0,,,2017,연립다세대,중개거래,서울 종로구,2024-06-19
2024,11410,서대문구,11800,홍은동,1,대지,0467,0000,북한산두산위브,20240619,89000,84.98,0.0,9.0,,,2020,아파트,중개거래,서울 서대문구,2024-06-19
2024,11230,동대문구,10200,용두동,1,대지,0112,0008,한양아이클래스,20240619,11000,14.19,0.0,7.0,,,2014,아파트,중개거래,서울 동대문구,2024-06-19
2024,11440,마포구,12000,서교동,1,대지,0338,0039,eG PLUS 오피스텔,20240619,15000,16.7,21.15,4.0,,,2001,오피스텔,중개거래,서울 마포구,2024-06-19
2024,11380,은평구,10200,녹번동,1,대지,0137,0007,일광스카이빌,20240619,24000,27.72,25.0,4.0,,,2018,연립다세대,직거래,,2024-06-19
2024,11260,중랑구,10600,신내동,,,,,,20240619,47300,128.86,89.0,0.0,,,1993,단독다가구,중개거래,서울 중랑구,2024-06-19
2024,11350,노원구,10300,공릉동,1,대지,0743,0000,공릉동한보에센시티아파트,20240619,50000,59.4,0.0,18.0,,,2000,아파트,중개거래,서울 노원구,2024-06-19
2024,11470,양천구,10300,신월동,1,대지,0013,0017,지오빌A,20240619,15000,29.83,18.0,2.0,,,2012,연립다세대,중개거래,서울 양천구,2024-06-19
2024,11440,마포구,11000,노고산동,1,대지,0107,0036,현대벤처빌,20240619,22100,27.9,0.0,16.0,,,2002,아파트,중개거래,서울 마포구,2024-06-19
2024,11590,동작구,10700,사당동,1,대지,0105,0000,사당우성3,20240619,93000,59.89,0.0,4.0,,,1993,아파트,중개거래,서울 동작구,2024-06-19
2024,11170,용산구,13100,한남동,1,대지,0828,0000,한남아이파크애비뉴,20240619,95000,49.697,0.0,15.0,,,2017,아파트,중개거래,서울 용산구,2024-06-19
2024,11530,구로구,10700,개봉동,1,대지,0337,0007,신부파스카빌A동,20240619,16000,29.92,20.0,5.0,,,2015,연립다세대,직거래,,2024-06-19
2024,11200,성동구,10700,행당동,1,대지,0346,0000,행당한진타운,20240619,106000,59.96,0.0,22.0,,,2000,아파트,중개거래,서울 성동구,2024-06-19
2024,11590,동작구,10200,상도동,1,대지,0521,0000,상도더？(521),20240619,122000,132.735,0.0,6.0,,,2007,아파트,직거래,,2024-06-19
2024,11170,용산구,10200,용산동2가,,,,,,20240619,115000,107.78,83.0,0.0,,,1991,단독다가구,직거래,,2024-06-19
2024,11380,은평구,10400,갈현동,1,대지,0268,0020,청구주택(268-20),20240619,10300,39.95,19.0,-1.0,,,1994,연립다세대,직거래,,2024-06-19
2024,11110,종로구,18300,평창동,,,,,,20240619,220000,239.38,370.0,0.0,,,1992,단독다가구,중개거래,서울 종로구,2024-06-19
2024,11320,도봉구,10700,창동,1,대지,0338,0000,창동신원리베르텔,20240619,15000,36.1,45.76,13.0,,,2003,오피스텔,중개거래,서울 도봉구,2024-06-19
2024,11440,마포구,10500,용강동,1,대지,0500,0000,마포대림1,20240619,178000,131.85,0.0,9.0,,,2002,아파트,중개거래,서울 마포구,2024-06-19
2024,11590,동작구,10700,사당동,1,대지,0105,0000,사당우성3,20240619,74200,46.75,0.0,8.0,,,1993,아파트,중개거래,서울 동작구,2024-06-19
2024,11260,중랑구,10300,중화동,1,대지,0331,0001,리버센 SK VIEW 롯데캐슬,20240619,119555,100.97,0.0,20.0,입주권,,0,아파트,중개거래,서울 은평구,2024-06-19
2024,11470,양천구,10200,목동,1,대지,0904,0000,목동신시가지4,20240619,123000,47.25,0.0,1.0,,,1986,아파트,중개거래,서울 양천구,2024-06-19
2024,11560,영등포구,10600,영등포동5가,1,대지,0081,0001,영포복합건물,20240619,10000,23.6,31.547,4.0,,,2002,오피스텔,중개거래,서울 영등포구,2024-06-19
2024,11290,성북구,10300,돈암동,1,대지,0644,0000,돈암코오롱하늘채,20240619,102500,84.869,0.0,10.0,,,2016,아파트,중개거래,서울 성북구,2024-06-19
2024,11260,중랑구,10300,중화동,1,대지,0331,0001,리버센 SK VIEW 롯데캐슬,20240619,45540,59.99,0.0,8.0,입주권,,0,아파트,중개거래,서울 은평구,2024-06-19
2024,11320,도봉구,10800,도봉동,1,대지,0083,0000,유원도봉,20240619,45300,84.93,0.0,2.0,,,1990,아파트,중개거래,서울 도봉구,2024-06-19
2024,11440,마포구,12100,동교동,1,대지,0159,0006,파라다이스텔,20240619,26500,37.885,53.413,10.0,,,2003,오피스텔,중개거래,서울 마포구,2024-06-19
2024,11560,영등포구,13200,신길동,1,대지,0069,0020,루나플라체,20240619,15100,15.03,0.0,11.0,,,2019,아파트,직거래,,2024-06-19
2024,11620,관악구,10200,신림동,1,대지,1704,0001,주공1,20240619,41000,59.5,0.0,8.0,,,1995,아파트,중개거래,서울 관악구,2024-06-19
2024,11545,금천구,10200,독산동,1,대지,0377,0002,우성빌라,20240619,19200,52.66,25.0,3.0,,,1991,연립다세대,중개거래,서울 영등포구,2024-06-19
2024,11440,마포구,10500,용강동,1,대지,0508,0000,이편한세상마포리버파크,20240619,200000,84.98,0.0,14.0,,,2016,아파트,중개거래,서울 마포구,2024-06-19
2024,11620,관악구,10200,신림동,1,대지,0528,0001,로즈아트빌,20240619,34500,61.21,30.0,3.0,,,2002,연립다세대,중개거래,서울 관악구,2024-06-19
2024,11500,강서구,10900,방화동,1,대지,0860,0000,마곡서광(치현마을),20240619,37200,84.93,0.0,14.0,,,1998,아파트,직거래,,2024-06-19
2024,11500,강서구,10900,방화동,1,대지,0839,0000,방화그린,20240619,48900,49.77,0.0,13.0,,,1993,아파트,중개거래,서울 강서구,2024-06-19
2024,11380,은평구,10700,응암동,1,대지,0767,0000,백련산에스케이뷰아이파크,20240619,82700,59.854,0.0,2.0,,,2020,아파트,중개거래,서울 은평구,2024-06-19
2024,11260,중랑구,10100,면목동,1,대지,0655,0048,꿈애공간,20240618,31000,35.37,21.0,2.0,,,2020,연립다세대,중개거래,서울 중랑구,2024-06-18
2024,11380,은평구,10800,역촌동,1,대지,0060,0035,해들목휴먼빌(60-35),20240618,38000,46.0,29.0,5.0,,,2017,연립다세대,중개거래,서울 은평구,2024-06-18
2024,11320,도봉구,10700,창동,1,대지,0825,0000,북한산아이파크5차,20240618,84000,84.451,0.0,7.0,,,2004,아파트,중개거래,서울 도봉구,2024-06-18
2024,11380,은평구,10100,수색동,1,대지,0415,0001,e편한세상수색에코포레,20240618,60000,59.895,0.0,3.0,,,2003,아파트,중개거래,서울 은평구,2024-06-18
2024,11410,서대문구,11900,북가좌동,1,대지,0003,0119,행복한집(3차),20240618,20700,50.5,31.0,5.0,,,2008,연립다세대,중개거래,서울 서대문구,2024-06-18
2024,11320,도봉구,10500,쌍문동,1,대지,0575,0000,시그마팰리스,20240618,35500,71.74,0.0,8.0,,,2003,아파트,중개거래,서울 도봉구,2024-06-18
2024,11305,강북구,10400,우이동,1,대지,0342,0000,대우,20240618,61000,84.93,0.0,3.0,,,2000,아파트,중개거래,서울 강북구,2024-06-18
2024,11215,광진구,10700,화양동,1,대지,0110,0037,화양타워,20240618,12000,39.04,60.48,3.0,,,1999,오피스텔,중개거래,서울 광진구,2024-06-18
2024,11620,관악구,10100,봉천동,1,대지,0196,0155,로제하우스7차,20240618,32700,63.78,30.0,3.0,,,2005,연립다세대,중개거래,서울 관악구,2024-06-18
2024,11680,강남구,11500,수서동,1,대지,0795,0000,강남데시앙포레,20240618,160000,84.92,0.0,2.0,,,2014,아파트,중개거래,서울 강남구,2024-06-18
2024,11305,강북구,10300,수유동,1,대지,0276,0022,혁구하이츠빌라6차(나동),20240618,10500,32.29,15.0,2.0,,,1992,연립다세대,중개거래,"서울 강북구, 서울 도봉구",2024-06-18
2024,11740,강동구,10900,천호동,1,대지,0425,0003,천호역 한강 푸르지오시티,20240618,17200,25.24,35.91,20.0,,,2015,오피스텔,중개거래,서울 강동구,2024-06-18
2024,11590,동작구,10200,상도동,1,대지,0126,0019,골든빌라,20240618,20000,36.3,20.0,1.0,,,1995,연립다세대,직거래,,2024-06-18
2024,11215,광진구,10400,광장동,1,대지,0577,0000,현대파크빌,20240618,118000,59.76,0.0,9.0,,,2000,아파트,중개거래,서울 광진구,2024-06-18
2024,11620,관악구,10100,봉천동,1,대지,1706,0000,봉천우성,20240618,82800,84.96,0.0,18.0,,,2000,아파트,중개거래,서울 관악구,2024-06-18
2024,11620,관악구,10100,봉천동,1,대지,1730,0001,e편한세상서울대입구2단지,20240618,115500,84.97,0.0,4.0,,,2019,아파트,중개거래,서울 관악구,2024-06-18
2024,11530,구로구,10700,개봉동,1,대지,0480,0000,현대홈타운,20240618,60000,59.49,0.0,11.0,,,2001,아파트,중개거래,"서울 구로구, 서울 영등포구",2024-06-18
2024,11710,송파구,10800,문정동,1,대지,0620,0000,송파푸르지오시티,20240618,19200,24.9,32.46,8.0,,,2013,오피스텔,중개거래,서울 송파구,2024-06-18
2024,11500,강서구,10300,화곡동,1,대지,0056,0346,고명빌라,20240618,15000,58.28,26.0,1.0,,,2002,연립다세대,직거래,,2024-06-18
2024,11260,중랑구,10600,신내동,1,대지,0656,0000,화성.두산아파트,20240618,78000,84.99,0.0,9.0,,,1995,아파트,중개거래,서울 중랑구,2024-06-18
2024,11530,구로구,10800,오류동,1,대지,0001,0131,태성그린빌라,20240618,20000,59.86,43.0,1.0,,,1996,연립다세대,중개거래,서울 구로구,2024-06-18
2024,11740,강동구,10500,길동,1,대지,0400,0000,길동우성,20240618,52000,57.1,0.0,6.0,,,1994,아파트,직거래,,2024-06-18
2024,11260,중랑구,10300,중화동,1,대지,0450,0000,한신아파트상가동유치원동(103~109),20240618,62500,59.76,0.0,19.0,,,1997,아파트,중개거래,서울 중랑구,2024-06-18
2024,11500,강서구,10900,방화동,1,대지,0280,0001,마곡라테라스,20240618,22750,28.78,15.0,3.0,,,2018,연립다세대,중개거래,서울 강서구,2024-06-18
2024,11530,구로구,10700,개봉동,1,대지,0276,0032,PAPRICA276,20240618,7700,12.55,11.0,2.0,,,2012,연립다세대,중개거래,경기 하남시,2024-06-18
2024,11110,종로구,17400,창신동,,,,,,20240618,90000,164.04,93.0,0.0,,,1980,단독다가구,중개거래,"서울 성북구, 서울 종로구",2024-06-18
